Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53
,,,,,,,,,,,,,,,,,,,,,,,HC33,,,,,,,HM35,,,,,,,,,,,,,,,,,,,,,CG35,,
,,,,,,,,,,,,,,,,,,,,,,,HC32,,,,,,,HM34,,,,,,,,,,,,,,KT33,,,,,,,CG34,,
,,,,,,,,,,,,,,,,,,,,,,,HC31,,,,,,,HM33,,,,,,,,,,,,,,KT32,,,,,,,CG33,,
,,,,,,,,,,,,,,,,,,,,,,,HC30,,,,,,,HM32,,,,,,,,,,,,,,KT31,,,,,,,CG32,,
,,,,,,,,,,,,,,,,,,,,,,,HC29,,,,,,,HM31,,,,,,,,,,,,,,KT30,,,,,,,CG31,,
,,,,,,,,,,,,,,,,CL30,,,,,,,,,,,,,,HM30,,,,,,,,,,,,,,KT29,,,,,,,,,
,,MH29,,,,,,,,,,,,,,CL29,,,,,,,HC28,,,,,,,HM29,,,,,,,,,,,,,,KT28,,,,,,,CG30,,
,,MH28,,,,,,,,,,,,,,CL28,,,,,,,HC27,,,,,,,HM28,,,,,,,,,,,,,,KT27,,,,,,,CG29,,
,,MH27,,,,,,,,,,,,,,CL27,,,,,,,HC26,,,,,,,HM27,,,,,,,,,,,,,,,,,,,,,CG28,,
,,MH26,,,,,,,,,,,,,,CL26,,,,,,,HC25,,,,,,,HM26,,,,,,,,,,,,,,KT26,,,,,,,CG27,,
,,,,,,,,,,,,,,,,,,,,,,,HC24,,,,,,,HM25,,,,,,,,,,,,,,KT25,,,,,,,CG26,,
,,MH25,,,,,,,,,,,,,,CL25,,,,,,,HC23,,,,,,,HM24,,,,,,,,,,,,,,KT24,,,,,,,CG25,,
,,MH24,,,,,,,,,,,,,,CL24,,,,,,,HC22,,,,,,,,,,,,,,LS25,,,,,,,,,,,,,,CG24,,
,,MH23,,,,,,,,,,,,,,CL23,,,,,,,HC21,,,,,,,HM23,,,,,,,LS24,,,,,,,KT23,,,,,,,CG23,,
,,MH22,,,,,,,,,,,,,,CL22,,,,,,,HC20,,,,,,,HM22,,,,,,,LS23,,,,,,,KT22,,,,,,,CG22,,
,,MH21,,,,,,,,,,,,,,CL21,,,,,,,,,,,,,,HM21,,,,,,,LS22,,,,,,,KT21,,,,,,,,,
,,MH20,,,,,,,,,,,,,,CL20,,,,,,,HC19,,,,,,,HM20,,,,,,,LS21,,,,,,,KT20,,,,,,,CG21,,
,,MH19,,,,,,,,,,,,,,CL19,,,,,,,HC18,,,,,,,HM19,,,,,,,LS20,,,,,,,KT19,,,,,,,CG20,,
,,MH18,,,,,,,,,,,,,,CL18,,,,,,,HC17,,,,,,,,,,,,,,LS19,,,,,,,KT18,,,,,,,CG19,,
,,MH17,,,,,,,,,,,,,,CL17,,,,,,,HC16,,,,,,,HM18,,,,,,,LS18,,,,,,,KT17,,,,,,,CG18,,
,,MH16,,,,,,,DS18,,,,,,,CL16,,,,,,,,,,,,,,HM17,,,,,,,LS17,,,,,,,,,,,,,,CG17,,
,,,,,,,,,DS17,,,,,,,CL15,,,,,,,HC15,,,,,,,HM16,,,,,,,LS16,,,,,,,KT16,,,,,,,CG16,,
,,MH15,,,,,,,DS16,,,,,,,CL14,,,,,,,HC14,,,,,,,HM15,,,,,,,LS15,,,,,,,KT15,,,,,,,CG15,,
,,MH14,,,,,,,DS15,,,,,,,CL13,,,,,,,HC13,,,,,,,HM14,,,,,,,LS14,,,,,,,KT14,,,,,,,CG14,,
,,MH13,,,,,,,DS14,,,,,,,,,,,,,,HC12,,,,,,,HM13,,,,,,,LS13,,,,,,,KT13,,,,,,,CG13,,
,,MH12,,,,,,,DS13,,,,,,,CL12,,,,,,,HC11,,,,,,,,,,,,,,LS12,,,,,,,KT12,,,,,,,,,
,,MH11,,,,,,,DS12,,,,,,,CL11,,,,,,,HC10,,,,,,,HM12,,,,,,,LS11,,,,,,,,,,,,,,CG12,,
,,MH10,,,,,,,DS11,,,,,,,CL10,,,,,,,,,,,,,,HM11,,,,,,,,,,,,,,KT11,,,,,,,CG11,,
,,MH9,,,,,,,DS10,,,,,,,CL9,,,,,,,HC9,,,,,,,HM10,,,,,,,LS10,,,,,,,KT10,,,,,,,CG10,,
,,MH8,,,,,,,DS9,,,,,,,CL8,,,,,,,HC8,,,,,,,HM9,,,,,,,LS9,,,,,,,KT9,,,,,,,CG9,,
,,MH7,,,,,,,DS8,,,,,,,CL7,,,,,,,HC7,,,,,,,HM8,,,,,,,LS8,,,,,,,KT8,,,,,,,CG8,,
,,,,,,,,,DS7,,,,,,,CL6,,,,,,,HC6,,,,,,,HM7,,,,,,,LS7,,,,,,,KT7,,,,,,,CG7,,
,,MH6,,,,,,,DS6,,,,,,,,,,,,,,,,,,,,,HM6,,,,,,,LS6,,,,,,,KT6,,,,,,,CG6,,
,,MH5,,,,,,,DS5,,,,,,,CL5,,,,,,,HC5,,,,,,,HM5,,,,,,,LS5,,,,,,,KT5,,,,,,,CG5,,
,,MH4,,,,,,,DS4,,,,,,,CL4,,,,,,,HC4,,,,,,,HM4,,,,,,,LS4,,,,,,,KT4,,,,,,,CG4,,
,,MH3,,,,,,,DS3,,,,,,,CL3,,,,,,,HC3,,,,,,,HM3,,,,,,,LS3,,,,,,,KT3,,,,,,,CG3,,
,,MH2,,,,,,,DS2,,,,,,,CL2,,,,,,,HC2,,,,,,,HM2,,,,,,,LS2,,,,,,,KT2,,,,,,,CG2,,
,,MH1,,,,,,,DS1,,,,,,,CL1,,,,,,,HC1,,,,,,,HM1,,,,,,,LS1,,,,,,,KT1,,,,,,,CG1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MH,,Meals at,,,,,DS,,  Dishes,,,,,CL,,Clothing &,,,,,HC,  Housekeeping,,,,,,HM,, Houshold,,,,,LS,,   Leisure,,,,,KT,,  Kitchen,,,,,CG,,  Cooking
,,,,  Home,,,,,,,,,,,,,,  Laundry,,,,,,    and Chores,,,,,,,, Mechanics,,,,,,,,,,,,,,,,,,,,,
