Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
,,,,,,,,,,,,,,,,SH37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA39,,,,,
,,MB36,,,,,,,,,,,,,,SH36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA38,,,,,
,,MB35,,,,,,,,,,,,,,SH35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA37,,,,,
,,MB34,,,,,,,,,,,,,,SH34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA36,,,,,
,,MB33,,,,,,,,,,,,,,SH33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA35,,,,,
,,MB32,,,,,,,CK32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA34,,,,,
,,MB31,,,,,,,CK31,,,,,,,SH32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA33,,,,,
,,MB30,,,,,,,CK30,,,,,,,SH31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA32,,,,,
,,MB29,,,,,,,CK29,,,,,,,SH30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA31,,,,,
,,MB28,,,,,,,CK28,,,,,,,SH29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA30,,,,,
,,MB27,,,,,,,CK27,,,,,,,SH28,,,,,,,EP27,,,,,,,,,,,,,,PH29,,,,,,,,,,,,,,SA29,,,,,
,,,,,,,,,CK26,,,,,,,SH27,,,,,,,EP26,,,,,,,,,,,,,,PH28,,,,,,,,,,,,,,SA28,,,,,
,,MB26,,,,,,,CK25,,,,,,,SH26,,,,,,,EP25,,,,,,,,,,,,,,PH27,,,,,,,,,,,,,,SA27,,,,,
,,MB25,,,,,,,CK24,,,,,,,SH25,,,,,,,EP24,,,,,,,,,,,,,,PH26,,,,,,,,,,,,,,SA26,,,,,
,,MB24,,,,,,,CK23,,,,,,,SH24,,,,,,,EP23,,,,,,,,,,,,,,PH25,,,,,,,,,,,,,,SA25,,,,,
,,MB23,,,,,,,CK22,,,,,,,SH23,,,,,,,EP22,,,,,,,,,,,,,,PH24,,,,,,,,,,,,,,SA24,,,,,
,,MB22,,,,,,,CK21,,,,,,,SH22,,,,,,,EP21,,,,,,,,,,,,,,PH23,,,,,,,TS20,,,,,,,SA23,,,,,
,,MB21,,,,,,,CK20,,,,,,,SH21,,,,,,,EP20,,,,,,,,,,,,,,PH22,,,,,,,TS19,,,,,,,SA22,,,,,
,,MB20,,,,,,,CK19,,,,,,,SH20,,,,,,,EP19,,,,,,,,,,,,,,PH21,,,,,,,TS18,,,,,,,SA21,,,,,
,,,,,,,,,CK18,,,,,,,SH19,,,,,,,EP18,,,,,,,,,,,,,,PH20,,,,,,,,,,,,,,SA20,,,,,
,,MB19,,,,,,,CK17,,,,,,,SH18,,,,,,,EP17,,,,,,,,,,,,,,PH19,,,,,,,TS17,,,,,,,SA19,,,,,
,,MB18,,,,,,,CK16,,,,,,,SH17,,,,,,,,,,,,,,,,,,,,,PH18,,,,,,,TS16,,,,,,,SA18,,,,,
,,MB17,,,,,,,,,,,,,,SH16,,,,,,,EP16,,,,,,,,,,,,,,PH17,,,,,,,TS15,,,,,,,SA17,,,,,
,,MB16,,,,,,,CK15,,,,,,,SH15,,,,,,,EP15,,,,,,,,,,,,,,PH16,,,,,,,TS14,,,,,,,SA16,,,,,
,,MB15,,,,,,,CK14,,,,,,,SH14,,,,,,,EP14,,,,,,,MO15,,,,,,,PH15,,,,,,,TS13,,,,,,,SA15,,,,,
,,MB14,,,,,,,CK13,,,,,,,SH13,,,,,,,EP13,,,,,,,MO14,,,,,,,PH14,,,,,,,TS12,,,,,,,SA14,,,,,
,,MB13,,,,,,,CK12,,,,,,,SH12,,,,,,,EP12,,,,,,,MO13,,,,,,,PH13,,,,,,,TS11,,,,,,,SA13,,,,,
,,MB12,,,,,,,CK11,,,,,,,SH11,,,,,,,EP11,,,,,,,MO12,,,,,,,PH12,,,,,,,TS10,,,,,,,SA12,,,,,
,,MB11,,,,,,,CK10,,,,,,,SH10,,,,,,,EP10,,,,,,,MO11,,,,,,,PH11,,,,,,,,,,,,,,SA11,,,,,
,,MB10,,,,,,,,,,,,,,SH9,,,,,,,EP9,,,,,,,MO10,,,,,,,PH10,,,,,,,TS9,,,,,,,SA10,,,,,
,,MB9,,,,,,,CK9,,,,,,,SH8,,,,,,,,,,,,,,MO9,,,,,,,PH9,,,,,,,TS8,,,,,,,SA9,,,,,
,,MB8,,,,,,,CK8,,,,,,,,,,,,,,EP8,,,,,,,MO8,,,,,,,PH8,,,,,,,TS7,,,,,,,SA8,,,,,
,,MB7,,,,,,,CK7,,,,,,,SH7,,,,,,,EP7,,,,,,,MO7,,,,,,,PH7,,,,,,,,,,,,,,SA7,,,,,
,,MB6,,,,,,,CK6,,,,,,,SH6,,,,,,,EP6,,,,,,,MO6,,,,,,,PH6,,,,,,,TS6,,,,,,,SA6,,,,,
,,MB5,,,,,,,CK5,,,,,,,SH5,,,,,,,EP5,,,,,,,MO5,,,,,,,PH5,,,,,,,TS5,,,,,,,SA5,,,,,
,,MB4,,,,,,,CK4,,,,,,,SH4,,,,,,,EP4,,,,,,,MO4,,,,,,,PH4,,,,,,,TS4,,,,,,,SA4,,,,,
,,MB3,,,,,,,CK3,,,,,,,SH3,,,,,,,EP3,,,,,,,MO3,,,,,,,PH3,,,,,,,TS3,,,,,,,SA3,,,,,
,,MB2,,,,,,,CK2,,,,,,,SH2,,,,,,,EP2,,,,,,,MO2,,,,,,,PH2,,,,,,,TS2,,,,,,,SA2,,,,,
,,MB1,,,,,,,CK1,,,,,,,SH1,,,,,,,EP1,,,,,,,MO1,,,,,,,PH1,,,,,,,TS1,,,,,,,SA1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MB, Basic Mobility,,,,,,CK,,Community,,,,,SH,,Shopping,,,,,EP,   Eat in Public,,,,,,MO,,  Money,,,,,PH,,   Phone,,,,,TS,,,Time,,,,SA,,  Social ,,,
,,,,,,,,,,,Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awareness
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,& Manners
